"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2024/03/18 4:47:23 p. m. GMT-6","Acepto","442-3","Masculino","20","","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","La implementacion de este tipo de estrategias le ayuda al estudiante a antincipar mucho de lo que sera su carrera como medico y las decisiones que debe de tomar, ademas de apoyar en cosas como el pensamiento critico, desarrollo de diagnostico diferencial y aprendizaje a traves de experiencia.","En este tipo de aprendizaje se necesita probablemente un 50% de participacion y voluntad del estudiante si es que el maestro encargado se encarga de su parte, el incoveniente mas grande podria ser el alumno al rechazar este tipo de simulacros o al no intentar desarrolar sus habilidades como medico.","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Importante","Todo va muy bien y espero vaya mejorando para las siguientes generaciones.","Donde me concentro más","Buena estrategia","Comunicación;Concentración;Discusión grupal;Participación","Ningun aspecto encuentro negativo."
"2024/03/18 5:05:18 p. m. GMT-6","Acepto","442 3","Masculino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","Completamente de acuerdo","Ayuda a  reforzar y prefiero aprender de manera practica","Los nervios y que el espacio es un poco pequeño","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde están mis amigos","Buena estrategia","Confianza;Comunicación;Empatía;Discusión grupal;Participación","Que es un espacios reducido "
"2024/03/18 5:19:18 p. m. GMT-6","Acepto","441","Masculino","19","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","3 Regular","Completamente de acuerdo","Porque permite un acercamiento controlado en el que los alumnos puedan aportar ideas o desarrollar un pensamiento critico de manera seguro y sin estres","A mi parecer no he visto ningun incoveniente importante","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde no me cause estrés","Me da igual","Confianza;Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal","Que mientras que el ambiente es mas relajado, suele haber mas distractores como comentarios inecesarios"
"2024/03/18 5:25:22 p. m. GMT-6","Acepto","441-2","Femenino","20","","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Ya que por medio de él podemos ver errores que se pueden cometer en vida real y corregirlos a tiempo, además te impulsa y motiva a estudiar","El que todos los compañeros podamos escucharnos, ya que se vuelve complicado una vez que entras al simulador ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Concentración;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","No encuentro ninguno "
"2024/03/18 5:30:08 p. m. GMT-6","Acepto","442-2","Femenino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Así nos da una enseñanza mejor visualizando cómo se hace y no solo escuchando","Tal vez los nervios del alumno al saber si lo hace bien","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Todo bien me gusta la clase ","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Concentración;Trabajo en equipo","Solo son las sillas si tuvieran para poder hacer apuntes sería mejor "
"2024/03/18 5:32:48 p. m. GMT-6","Acepto","442-1","Masculino","20","","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Si porque no vuelve la clase monotoma, agrega la escencia clinica y se aprende de los errores, nos permite mejorar.","Creo que ya seria personal, hay veces que como no conozco la patologia al 100% me pierdo en saber que hacer, no tengo direccion por lo tanto a veces no se como seguir con la simulacion","De acuerdo","Regular","De acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","Todo bien","Donde me concentro más","Estoy en contra de esta estrategia de acomodo de sillas","Discusión grupal","Estoy acostumbrado a los mesabancos, simplemente por gustos personales preferiria evitar sentarme de esa manera"
"2024/03/18 5:39:17 p. m. GMT-6","Acepto","442-2","Femenino","20","","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","5 Excelente","Completamente de acuerdo","ya que nos ayuda con la toma de decisiones y las reacciones que podríamos tener más adelante","que los alumnos no quieran participar al inicio por vergüenza","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Concentración;Aprendizaje significativo;Participación;Trabajo en equipo","ninguno"
"2024/03/18 5:42:15 p. m. GMT-6","Acepto","442-1","Masculino","23","","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Por que pones en practica tus conocimientos y lo aprendido en teoria.","Que algunos les pueda dar pena, pero de igual forma esta bien para ir trabajando esa parte de la verguenza. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Importante","","Donde están mis amigos","Buena estrategia","Comunicación;Compañerismo;Participación","ninguno"
"2024/03/18 5:43:36 p. m. GMT-6","Acepto","442-3","Masculino","20","","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque es una manera didáctica para aprender y estamos más involucrados en el ámbito médico del día a día en consulta","La comunicación entre alumnos y profesor es muy aislada cuando se está en simulación y los errores o retroalimentación se dan hasta terminar la simulación y no al momento","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Vi un video de una universidad, que tenían igual un cuarto de simulación en donde el paciente (maniquí) por medio de bocinas, el docente hablaba por él y los alumnos interactúan indirectamente con el docente y así podría tener más situaciones en la simulación de manera positiva como negativa y el paciente tendría reacciones a los actos y decisiones de los doctores y enfermeros (alumnos)","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Me distraigo fácilmente y a la hora de hacer apuntes es incómodo por eso prefiero poner toda mi atención a lo que marca y dice el doctor "
"2024/03/18 5:46:43 p. m. GMT-6","Acepto","442 - 2","Masculino","21","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Creo que en el área de la salud, la mayoría del conocimiento te lo da la práctica, e incluir estos espacios para practicar nos prepara un poco mejor.","La retroalimentacion","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno"
"2024/03/18 5:54:29 p. m. GMT-6","Acepto","442-3","Femenino","19","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Por que mejora la confianza en uno mismo","Ninguno","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Ninguno","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Motivación;Concentración;Empatía;Compañerismo;Discusión grupal;Participación","Ninguno "
"2024/03/18 6:08:36 p. m. GMT-6","Acepto","442-2","Masculino","20","","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","Completamente de acuerdo","Porque es lo más cercano que podemos tener a una situación real
","Meterse en el papel. ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Me gustaría que al final nos muestre el cómo se debe hacer. Me refiero a pasar el cómo doctor y dar órdenes a los demás papeles (enfermeros y residentes).
Eso le daría la vista completa del como moverme y que hacer.","Para estar cerca del docente","Buena estrategia","Concentración;Estado de ánimo;Discusión grupal","Realmente no veo aspectos negativos."
"2024/03/18 6:29:02 p. m. GMT-6","Acepto","442-2","Masculino","21","","4 Buena","3 Regular","3 Regular","5 Excelente","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","3 Regular","Completamente de acuerdo","porque permite al alumno poner a prueba sus conocimientos y tecnicas a la hora de hacer una simulacion","la cooperacion y comunicacion entre compañeros","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","que antes de la practica se haga un breve repaso del tema o caso a tratar","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Aprendizaje significativo;Discusión grupal;Participación","comodidad, concentracion"
"2024/03/18 7:34:25 p. m. GMT-6","Acepto","442-1","Femenino","20","","5 Excelente","5 Excelente","4 Buena","5 Excelente","3 Regular","3 Regular","3 Regular","5 Excelente","5 Excelente","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","De acuerdo","Me ayuda a pensar los posible diagnósticos y tratamientos.","Me gustaría que el doctor explique más sobre las técnicas de auscultación, percusión, palpación, etc ","De acuerdo","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Explicar más profundo los casos y que el doctor explique más la proepedeutica, sobre cómo auscultar y qué sonidos son normales y cuáles patológicos etc ","Donde escucho o veo mejor","No me gusta que las sillas en clase, no sean pupitre, ya que no puedo escribir ","Confianza;Comunicación;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno"
"2024/03/18 7:44:08 p. m. GMT-6","Acepto","443-3","Femenino","22","","3 Regular","3 Regular","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","Completamente de acuerdo","Porque si podemos desarrollar mejor nuestra habilidades ","Limite de simulaciones por alumno","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","-","Donde me concentro más","Buena estrategia","Comunicación;Motivación;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Dispercion de los asientos"
"2024/03/18 8:02:42 p. m. GMT-6","Acepto","442-3","Femenino","20","","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","consideró que al utilizar casos clínicos ayuda mucho al aprendizaje y al razonamiento clínico, al igual que la simulación ayuda a prepararnos para tener un mejor trato al paciente ","faltan algunos materiales en el area de la simulación el cual hace que la toma de decisiones en el diagnóstico de los casos se pierda un poco ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","me gustaría que se debería invertir un poco más de tiempo en la investigación del caso clínico que en la simulación en relación al paciente ","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Concentración;Compañerismo;Discusión grupal;Participación","no es muy cómodo para escribir y los asientos se acaban rápido "
"2024/03/18 8:14:38 p. m. GMT-6","Acepto","442-1","Femenino","20","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque siento que puedo visualizar más fácilmente el área laborar y ver que partes me hace falta más práctica y pulir más ","No veo inconvenientes me parece muy buena la técnica y práctica ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Me gustan mucho las clases, muy dinámicas, me siento con la confianza de equivocarme para poder corregirlo y mejorar ","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Compañerismo;Participación","Ninguno me parece más práctico y con más participación de parte de todo el grupo"
"2024/03/18 8:16:26 p. m. GMT-6","Acepto","441/3","Femenino","20","","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","3 Regular","5 Excelente","Completamente de acuerdo","Nos permite dar un mejor pensamiento crítico ","Que sea más didáctico ","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación","Puedo distraerme fácilmente conversando con ellos"
"2024/03/18 9:14:34 p. m. GMT-6","Acepto","443-3","Femenino","22","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","para tener una mayor percepcion de la realidad y conectar los conocimientos adquiridos","en clase de teoria con dr ontiveros si nos enseñan y adquirimos conocimientos pero en el laboratorio con otra docente, no nos enseña nada asi que considero que ella hace q nos retrasemos","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","La verdad no tengo ninguna queja, al contrario, estoy muy contenta de que el Dr Ontiveros nos imparta la teoria ya que tiene mucho conocimiento y se esmera en transmitirnoslo y sus clases son muy completas, entretenidas y es el unico en este semestre que de verdad nos enseña y se nota que le gusta participar en nuestra formación, ojala también tuviera el laboratorio con el ya que he escuchado que es muy dinamico y si aprenden bastante:(","Donde escucho o veo mejor","Buena estrategia","Comunicación;Concentración;Compañerismo;Discusión grupal;Participación","hasta ahorita no hay ninguno"
"2024/03/18 10:00:07 p. m. GMT-6","Acepto","442-3","Femenino","22","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","porque ayuda a tener seguridad en  uno mismo, aprender a trabajar en equipo y entender mejor como dar un diagnostico. Tambien como se realizan las intervenciones y como se debe dialogar con el paciente o familiares del paciente.","falta de materiales como el sonido, pantallas par ver estudios de lab, mas espacio.","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Discusión grupal;Participación;Trabajo en equipo"," somos muchos para un espacio pequeño deberiamos de ser menos o un espacio mas amplio"
"2024/03/18 10:33:26 p. m. GMT-6","Acepto","442","Masculino","21","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","porque somos humanos y estamos en contante cambio, y el estar apegados a un sistema educativo de antaño se vuelve tedioso, ya que ahora contamos con muchas mas herramientas que pueden ayudar mucho a obtener beneficios de calidad con diferentes técnicas ","yo creo que la falta de equipo, ya que es necesario tener un equipo para poder llevarlo acabo, pero con lo poco que tenemos hemos tenido buenos beneficios ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","el Dr Ontiveros busco una forma de poner en practica conocimientos y al mismo tiempo hacerlo de forma dinámica y no como una clase normal, yo creo esto nos impulsa a de la misma forma buscar alternativas diferentes para llegar al un resultado positivo ","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Empatía;Compañerismo;Participación;Trabajo en equipo","yo creo hasta el momento ninguno, yo considero que cuando estabulas una conversación a todos nos gusta que nos miren a la cara y es una muy buena estrategia "
"2024/03/19 12:39:23 a. m. GMT-6","Acepto","441-2","Femenino","21","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","porque este nos permite desarrollar habilidad y conocimiento práctico, complementario a lo revisado en el ámbito teórico","un factor podría ser en la capacidad de efectuar de manera óptima el trabajo en equipo ","Completamente de acuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Empatía;Compañerismo;Discusión grupal;Participación","personalmente no tengo problema alguno con dicha dinámica, por ende ni considero que existan aspectos negativos"
"2024/03/19 2:45:24 a. m. GMT-6","Acepto","442 -3","Masculino","20","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque se agregan cosas didácticas ","Las prácticas ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Se va mejorando ","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Compañerismo;Participación;Trabajo en equipo","Codazos"
"2024/03/19 6:55:14 a. m. GMT-6","Acepto","444-1","Femenino","21","","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","Completamente de acuerdo","Nos da la libertad de poder experimentar sin tener el miedo o riesgo del daño a paciente. Sabiendo que es una simulación me siento más confiada a poder fallar y no con temor ","Los recursos faltantes","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Quizá el hecho de que tomar notas desde una silla no es tan comodo de manera física, pero en digital se ajusta un poco más. Sería más de habituarse porque realmente es la primera vez que lo vemos y vivimos "
"2024/03/19 9:06:46 a. m. GMT-6","Acepto","442-1","Masculino","19","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Tener situaciones que parezcan a lo más real de lo que nos enfrentaremos en la vida diaria sin el miedo al decir algo aunque sea pequeñamente erróneo seamos castigados y humillados ","El nerviosismo de todo un equipo puesto que el nerviosismo de alguien puede afectar la práctica y/o a otros compañeros ","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","Nada que agregar, las ideas del profesor a futuro son buenas, tardadas en elaborar, pero que funcionarán","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Discusión grupal"," La cercanía a veces es demasiada por lo que querer salir de la zona donde alguien se sienta, es complicado "
"2024/03/19 12:38:36 p. m. GMT-6","Acepto","441-1","Masculino","24","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos da la perspectiva a futuro de como sera la interaction medico-paciente","la falta de talento para actuar","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Aprendizaje significativo;Participación","En ek acomodo, me es mas dificil concentrarme en las diapositivas por estar volteado"
"2024/03/19 10:18:28 p. m. GMT-6","Acepto","443-1","Femenino","19","No","","","","","","","","","","","","","","","","","","","","","","","","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","NINGUNO"
"2024/03/19 10:21:21 p. m. GMT-6","Acepto","443-2","Femenino","19","Si","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","Adquirimos práctica ","la falta de materiales/equipo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","ninguno, en general estoy disfrutando el curso ","Donde me concentro más","Buena estrategia","Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Trabajo en equipo","siento que podria distraer al querer salir "
"2024/03/19 10:33:02 p. m. GMT-6","Acepto","443-1","Masculino","26","No","","","","","","","","","","","","","","","","","","","","","","","","","Donde me concentro más","Buena estrategia","Comunicación;Discusión grupal;Participación","Más que nada un aspecto técnico es el espacio con el que cuenta, considero que las sillas están muy juntas pero se comprende que es algo que no se puede modificar "
"2024/03/20 1:29:01 a. m. GMT-6","Acepto","443-1","Femenino","22","Si","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Porque la práctica ante casos reales a lo que nos enfrentaremos también es de gran utilidad en Medicina. ","Ninguno","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Para estar cerca del docente","Excelente idea, me encanta","Comunicación;Motivación;Aprendizaje significativo;Trabajo en equipo","Ninguno"
"2025/05/21 5:05:03 p. m. GMT-6","Acepto","441-1","Femenino","22","Si","5 Excelente","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","3 Regular","3 Regular","3 Regular","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Creo que es buena ya que puede llegar a exponer al estudiante a situaciones de casos posibles ","Creo que el problema o el mayor inconveniente viene más del estudiante por ejemplo la seguridad que uno tiene ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde no me cause estrés","Buena estrategia","Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Aveces me distraigo teniendo a mis amigos cerca "
"2025/05/21 5:06:16 p. m. GMT-6","Acepto","441-3","Femenino","20","Si","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","es útil darse una idea de lo que pasa en el hospital ","consulta ","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","tiendo a platicar un poco "
